156.16411 - 897,626 - Button.right
156.85908 - 683,549 - Button.right
156.96759 - 604,544 - Button.right
157.03547 - 543,547 - Button.right
157.15095 - 491,580 - Button.right
157.25250 - 472,577 - Button.right
157.36568 - 468,585 - Button.right
157.45690 - 469,586 - Button.right
157.60516 - 466,695 - Button.right
157.69119 - 460,713 - Button.right
157.81731 - 455,732 - Button.right
157.94902 - 472,714 - Button.right
158.06318 - 462,767 - Button.right
158.16522 - 457,803 - Button.right
158.29853 - 462,814 - Button.right
158.39868 - 483,841 - Button.right
158.51173 - 498,869 - Button.right
159.03064 - 960,721 - Button.right
159.13916 - 983,708 - Button.right
159.23770 - 969,683 - Button.right
159.32572 - 926,753 - Button.right
159.42751 - 589,661 - Button.right
159.53216 - 536,679 - Button.right
160.23926 - 948,1111 - Button.left
