203.91915 - 1318,244 - Button.right
204.01270 - 1385,186 - Button.right
204.11374 - 1370,217 - Button.right
204.21237 - 1412,170 - Button.right
204.31236 - 1418,173 - Button.right
204.89824 - 1340,463 - Button.right
204.94797 - 1355,441 - Button.right
205.02649 - 1424,356 - Button.right
205.14371 - 1428,343 - Button.right
205.21184 - 1430,318 - Button.right
205.32178 - 1378,337 - Button.right
205.40697 - 1292,406 - Button.right
205.56276 - 1399,348 - Button.right
205.64674 - 1382,384 - Button.right
205.76268 - 1369,418 - Button.right
205.85503 - 1347,422 - Button.right
205.97478 - 1326,453 - Button.right
206.04036 - 1308,454 - Button.right
206.34141 - 1358,445 - Button.right
206.42479 - 1340,421 - Button.right
206.53246 - 1300,459 - Button.right
206.62513 - 1297,440 - Button.right
206.72094 - 1298,447 - Button.right
206.80475 - 1310,440 - Button.right
206.95075 - 1304,446 - Button.right
207.01927 - 1308,446 - Button.right
207.13068 - 1309,446 - Button.right
207.21125 - 1308,444 - Button.right
207.34779 - 1310,444 - Button.right
207.43687 - 1310,445 - Button.right
207.55476 - 1311,447 - Button.right
207.64575 - 1332,447 - Button.right
207.75130 - 1304,458 - Button.right
207.85281 - 1297,449 - Button.right
207.95617 - 1298,450 - Button.right
208.04882 - 1325,424 - Button.right
208.15978 - 1324,425 - Button.right
208.24842 - 1324,425 - Button.right
208.35645 - 1317,433 - Button.right
208.45052 - 1329,429 - Button.right
208.55882 - 1317,440 - Button.right
208.65834 - 1336,438 - Button.right
208.75896 - 1332,440 - Button.right
208.85581 - 1338,431 - Button.right
